uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	kegg	length	locus_tag	pathway	go_ids	go_bp	localization
P0A3R0	reviewed	MSAB1_STRR6	Peptide methionine sulfoxide reductase MsrA/MsrB 1 [Includes: Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase); Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)]	msrAB1 exp3 msrA spr1217	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358810.1; NC_003098.1.;WP_000818207.1; NC_003098.1.;	spr:spr1217	312	spr1217	NA	GO:0005737; GO:0005886; GO:0006979; GO:0008113; GO:0030091; GO:0033743; GO:0033744; GO:0036211	protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	inner membrane
P0A4Q0	reviewed	PLSY_STRR6	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY spr0755	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358349.1; NC_003098.1.;WP_000628789.1; NC_003098.1.;	spr:spr0755	213	spr0755	PATHWAY: Lipid metabolism; phospholipid metabolism.	GO:0005886; GO:0008654; GO:0043772	phospholipid biosynthetic process [GO:0008654]	inner membrane
Q59947	reviewed	IGA1_STRR6	Immunoglobulin A1 protease (IgA1 protease) (EC 3.4.24.13) (IgA-specific zinc metalloproteinase)	iga spr1042	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358636.1; NC_003098.1.;WP_000417171.1; NC_003098.1.;	spr:spr1042	1963	spr1042	NA	GO:0000126; GO:0001156; GO:0004222; GO:0005576; GO:0006508; GO:0008270; GO:0016020; GO:0070898	proteolysis [GO:0006508]; RNA polymerase III preinitiation complex assembly [GO:0070898]	secreted
Q8CY87	reviewed	KHPB_STRR6	RNA-binding protein KhpB (Elongasome regulating protein) (EloR) (KH-domain protein B) (RNA-binding protein EloR) (RNA-binding protein Jag)	khpB eloR jag spr1851	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359443.1; NC_003098.1.;WP_000260012.1; NC_003098.1.;	spr:spr1851	328	spr1851	NA	GO:0003723; GO:0005737; GO:0008360; GO:0009252; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm
Q8DMY4	reviewed	PCSB_STRR6	Peptidoglycan hydrolase PcsB (EC 3.2.1.-)	pcsB gsp-781 spr2021	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359612.1; NC_003098.1.;WP_000727012.1; NC_003098.1.;	spr:spr2021	392	spr2021	NA	GO:0005576; GO:0005886; GO:0016787; GO:0030428	NA	inner membrane
Q8DN88	reviewed	COMGC_STRR6	Competence protein ComGC (Major pilin ComGC)	comGC cglC spr1862	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359453.1; NC_003098.1.;WP_000738626.1; NC_003098.1.;	spr:spr1862	108	spr1862	NA	GO:0005576; GO:0005886; GO:0009289; GO:0009986; GO:0015627; GO:0015628; GO:0030420	establishment of competence for transformation [GO:0030420]; protein secretion by the type II secretion system [GO:0015628]	inner membrane
Q8DNB6	reviewed	PBP2A_STRR6	Penicillin-binding protein 2a (PBP2a) (Cell wall synthase PBP2a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbp2a spr1823	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359415.1; NC_003098.1.;WP_000762624.1; NC_003098.1.;	spr:spr1823	731	spr1823	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000305}.	GO:0005576; GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0016746; GO:0046677; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	inner membrane
Q8DNS0	reviewed	STKP_STRR6	Serine/threonine-protein kinase StkP (Ser/Thr-protein kinase StkP) (EC 2.7.11.1) (Eukaryotic-type Ser/Thr protein kinase) (ESTPK)	stkP pkn2 spr1577	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359169.1; NC_003098.1.;WP_000614552.1; NC_003098.1.;	spr:spr1577	659	spr1577	NA	GO:0000917; GO:0004674; GO:0005524; GO:0005776; GO:0005829; GO:0005886; GO:0007165; GO:0008360; GO:0010508; GO:0016310; GO:0019901; GO:0034045; GO:0042594; GO:0048671; GO:0106310	division septum assembly [GO:0000917]; negative regulation of collateral sprouting [GO:0048671]; phosphorylation [GO:0016310]; positive regulation of autophagy [GO:0010508]; regulation of cell shape [GO:0008360]; response to starvation [GO:0042594]; signal transduction [GO:0007165]	inner membrane
Q8DNZ8	reviewed	GATD_STRR6	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2)	gatD spr1444	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359037.1; NC_003098.1.;WP_000263194.1; NC_003098.1.;	spr:spr1444	260	spr1444	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_02213, ECO:0000269|PubMed:24044435}.	GO:0004359; GO:0006541; GO:0008360; GO:0009236; GO:0009252; GO:0071555; GO:0140282	cell wall organization [GO:0071555]; cobalamin biosynthetic process [GO:0009236]; glutamine metabolic process [GO:0006541]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	unknown
Q8DNZ9	reviewed	MURT_STRR6	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)	murT spr1443	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359036.1; NC_003098.1.;WP_001050251.1; NC_003098.1.;	spr:spr1443	447	spr1443	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_02214, ECO:0000269|PubMed:24044435}.	GO:0005524; GO:0008270; GO:0008360; GO:0009252; GO:0016881; GO:0071555; GO:0140282	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	unknown
