uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	kegg	length	locus_tag	pathway	go_ids	go_bp	localization
A0A140N5J7	reviewed	KDSC_ECOBD	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)	kdsC ECBD_0544	Escherichia coli B / BL21-DE3	469008	WP_000030016.1; NZ_JADXDS010000024.1.;	ebd:ECBD_0544	188	ECBD_0544	PATHWAY: Carbohydrate biosynthesis; 3-deoxy-D-manno-octulosonate biosynthesis; 3-deoxy-D-manno-octulosonate from D-ribulose 5-phosphate: step 3/3. {ECO:0000305|PubMed:12639950}.; PATHWAY: Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. {ECO:0000305|PubMed:12639950}.	GO:0009103; GO:0019143; GO:0046872	lipopolysaccharide biosynthetic process [GO:0009103]	unknown
A0A140N902	unreviewed	A0A140N902_ECOBD	Protein/nucleic acid deglycase HchA (EC 3.1.2.-) (EC 3.5.1.124) (Maillard deglycase)	hchA ECBD_1680	Escherichia coli B / BL21-DE3	469008	NA	ebd:ECBD_1680	283	ECBD_1680	NA	GO:0005737; GO:0006281; GO:0008270; GO:0016790; GO:0019172; GO:0019243; GO:0030091; GO:0036524	DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein repair [GO:0030091]	cytoplasm
A0A140NEL2	unreviewed	A0A140NEL2_ECOBD	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrD nnrE ECBD_3867	Escherichia coli B / BL21-DE3	469008	WP_001329144.1; NZ_JADXDS010000002.1.;	ebd:ECBD_3867	515	ECBD_3867	NA	GO:0005524; GO:0016301; GO:0016310; GO:0046496; GO:0046872; GO:0047453; GO:0052855; GO:0052856; GO:0052857; GO:0110051	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]; phosphorylation [GO:0016310]	unknown
A0A140SS89	unreviewed	A0A140SS89_ECOBD	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB ECBD_4179	Escherichia coli B / BL21-DE3	469008	WP_000965952.1; NZ_JADXDS010000031.1.;	ebd:ECBD_4179	729	ECBD_4179	PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000256|ARBA:ARBA00005005, ECO:0000256|HAMAP-Rule:MF_01621}.	GO:0003857; GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0036125; GO:0070403	fatty acid beta-oxidation [GO:0006635]	unknown
A0A140N465	unreviewed	A0A140N465_ECOBD	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC ECBD_0087	Escherichia coli B / BL21-DE3	469008	WP_000050139.1; NZ_JADXDS010000006.1.;	ebd:ECBD_0087	406	ECBD_0087	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872; GO:0071513	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	unknown
A0A140N4N5	unreviewed	A0A140N4N5_ECOBD	RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)	recB ECBD_0905	Escherichia coli B / BL21-DE3	469008	WP_001285992.1; NZ_JADXDS010000040.1.;	ebd:ECBD_0905	1180	ECBD_0905	NA	GO:0000287; GO:0000724; GO:0003677; GO:0005524; GO:0005829; GO:0008854; GO:0009338; GO:0016887; GO:0043138	double-strand break repair via homologous recombination [GO:0000724]	unknown
A0A140N4Y5	unreviewed	A0A140N4Y5_ECOBD	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd ECBD_0309	Escherichia coli B / BL21-DE3	469008	NA	ebd:ECBD_0309	367	ECBD_0309	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 2/4. {ECO:0000256|ARBA:ARBA00005076, ECO:0000256|HAMAP-Rule:MF_02121}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000256|ARBA:ARBA00005021, ECO:0000256|HAMAP-Rule:MF_02121}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000256|ARBA:ARBA00005097, ECO:0000256|HAMAP-Rule:MF_02121}.	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	unknown
A0A140N558	unreviewed	A0A140N558_ECOBD	Putrescine aminotransferase (PAT) (PATase) (EC 2.6.1.82) (Cadaverine transaminase) (Diamine transaminase) (EC 2.6.1.29) (Putrescine transaminase) (Putrescine--2-oxoglutaric acid transaminase)	patA ECBD_0669	Escherichia coli B / BL21-DE3	469008	NA	ebd:ECBD_0669	429	ECBD_0669	PATHWAY: Amine and polyamine degradation; putrescine degradation; 4-aminobutanal from putrescine (transaminase route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_01276}.; PATHWAY: Amino-acid degradation. {ECO:0000256|HAMAP-Rule:MF_01276}.	GO:0009447; GO:0019161; GO:0019477; GO:0030170; GO:0033094; GO:0042802	L-lysine catabolic process [GO:0019477]; putrescine catabolic process [GO:0009447]	unknown
A0A140N583	unreviewed	A0A140N583_ECOBD	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE ECBD_0689	Escherichia coli B / BL21-DE3	469008	WP_000869178.1; NZ_JADXDS010000007.1.;	ebd:ECBD_0689	477	ECBD_0689	PATHWAY: Bacterial outer membrane biogenesis; LPS core biosynthesis. {ECO:0000256|ARBA:ARBA00004713}.; PATHWAY: Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 1/4. {ECO:0000256|HAMAP-Rule:MF_01603}.; PATHWAY: Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 3/4. {ECO:0000256|HAMAP-Rule:MF_01603}.	GO:0005524; GO:0005829; GO:0009244; GO:0016773; GO:0033785; GO:0033786; GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	unknown
A0A140N587	unreviewed	A0A140N587_ECOBD	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA ECBD_1404	Escherichia coli B / BL21-DE3	469008	WP_000860273.1; NZ_JADXDS010000023.1.;	ebd:ECBD_1404	660	ECBD_1404	PATHWAY: Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01166}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose from UDP-alpha-D-glucuronate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01166}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose from UDP-alpha-D-glucuronate: step 3/3. {ECO:0000256|HAMAP-Rule:MF_01166}.	GO:0009103; GO:0009245; GO:0016831; GO:0046677; GO:0099618; GO:0099619	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]	unknown
