uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	kegg	length	locus_tag	pathway	go_ids	go_bp	localization
G3XCV0	reviewed	FLEQ_PSEAE	Transcriptional regulator FleQ	fleQ PA1097	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_249788.1; NC_002516.2.;WP_003086448.1; NZ_QZGE01000006.1.;	pae:PA1097	490	PA1097	NA	GO:0000976; GO:0000987; GO:0001216; GO:0001217; GO:0005524; GO:0006351; GO:0006355; GO:0010811; GO:0016887; GO:0032993; GO:0035438; GO:1901202; GO:1902021; GO:2000155	DNA-templated transcription [GO:0006351]; negative regulation of extracellular matrix assembly [GO:1901202]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of cilium-dependent cell motility [GO:2000155]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]; regulation of DNA-templated transcription [GO:0006355]	unknown
G3XCX3	reviewed	PILU_PSEAE	Type IV pilus ATPase PilU	pilU PA0396	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_249087.1; NC_002516.2.;WP_003100959.1; NZ_QZGE01000016.1.;	pae:PA0396	382	PA0396	NA	GO:0005524; GO:0005737; GO:0016888; GO:0043107	type IV pilus-dependent motility [GO:0043107]	cytoplasm
G3XCY4	reviewed	AMRZ_PSEAE	Transcription factor AmrZ (Alginate and motility regulator Z)	amrZ PA3385	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_252075.1; NC_002516.2.;WP_003091802.1; NZ_QZGE01000017.1.;	pae:PA3385	108	PA3385	NA	GO:0000976; GO:0001217; GO:0003677; GO:0032885; GO:0032993; GO:0043107; GO:0043565; GO:0044780; GO:0045892; GO:1900232; GO:1900233; GO:1902201; GO:2000147	bacterial-type flagellum assembly [GO:0044780]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of single-species biofilm formation on inanimate substrate [GO:1900232]; positive regulation of cell motility [GO:2000147]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]; regulation of polysaccharide biosynthetic process [GO:0032885]; type IV pilus-dependent motility [GO:0043107]	unknown
G3XCY6	reviewed	GLTR_PSEAE	Transcriptional regulatory protein GltR	gltR PA3192	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_251882.1; NC_002516.2.;WP_003091475.1; NZ_QZGE01000019.1.;	pae:PA3192	242	PA3192	NA	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0010828; GO:0032993	positive regulation of glucose transmembrane transport [GO:0010828]; regulation of DNA-templated transcription [GO:0006355]	cytoplasm
G3XD01	reviewed	WBPD_PSEAE	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase (UDP-D-GlcNAc3NA N-acetyltransferase) (EC 2.3.1.201) (UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronic acid 3-N-acetyltransferase)	wbpD PA3156	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_251846.1; NC_002516.2.;WP_003113426.1; NZ_QZGE01000023.1.;	pae:PA3156	191	PA3156	PATHWAY: Bacterial outer membrane biogenesis; LPS O-antigen biosynthesis. {ECO:0000269|PubMed:16102001, ECO:0000269|PubMed:19282284, ECO:0000269|PubMed:19348502, ECO:0000269|PubMed:8939432}.	GO:0000271; GO:0006065; GO:0009243; GO:0016407; GO:0016746; GO:0070206; GO:0071555	cell wall organization [GO:0071555]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]; protein trimerization [GO:0070206]; UDP-glucuronate biosynthetic process [GO:0006065]	unknown
G3XD23	reviewed	WBPB_PSEAE	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)	wbpB wlbA PA3158	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_251848.1; NC_002516.2.;WP_003113428.1; NZ_QZGE01000023.1.;	pae:PA3158	316	PA3158	PATHWAY: Bacterial outer membrane biogenesis; LPS O-antigen biosynthesis. {ECO:0000269|PubMed:18621892, ECO:0000269|PubMed:19282284, ECO:0000269|PubMed:19348502, ECO:0000269|PubMed:8939432}.	GO:0000271; GO:0003954; GO:0004617; GO:0006065; GO:0009103; GO:0009243; GO:0051262; GO:0070403; GO:0070404; GO:0071555	cell wall organization [GO:0071555]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]; protein tetramerization [GO:0051262]; UDP-glucuronate biosynthetic process [GO:0006065]	unknown
G3XD24	reviewed	PCTA_PSEAE	Methyl-accepting chemotaxis protein PctA	pctA PA4309	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_252999.1; NC_002516.2.;WP_003148125.1; NZ_JASSSD010000067.1.;	pae:PA4309	629	PA4309	NA	GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0016597; GO:0043200	chemotaxis [GO:0006935]; response to amino acid [GO:0043200]; signal transduction [GO:0007165]	inner membrane
G3XD94	reviewed	UGND_PSEAE	UDP-N-acetyl-D-glucosamine 6-dehydrogenase (UDP-D-GlcNAc 6-dehydrogenase) (EC 1.1.1.136) (UDP-N-acetylglucosamine 6-dehydrogenase)	wbpA PA3159	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_251849.1; NC_002516.2.;WP_003113429.1; NZ_QZGE01000023.1.;	pae:PA3159	436	PA3159	PATHWAY: Bacterial outer membrane biogenesis; LPS O-antigen biosynthesis. {ECO:0000269|PubMed:10930727, ECO:0000269|PubMed:15226302, ECO:0000269|PubMed:18621892, ECO:0000269|PubMed:8939432}.	GO:0000271; GO:0003954; GO:0009243; GO:0016020; GO:0016628; GO:0047004; GO:0051287; GO:0071555	cell wall organization [GO:0071555]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]	unknown
G3XD97	reviewed	PTXS_PSEAE	HTH-type transcriptional regulator PtxS	ptxS PA2259	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_250949.1; NC_002516.2.;WP_003113738.1; NZ_QZGE01000014.1.;	pae:PA2259	340	PA2259	NA	GO:0000976; GO:0001217; GO:0003700; GO:0006355; GO:0032993; GO:0045892	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	unknown
G3XDA8	reviewed	PSTS_PSEAE	Phosphate-binding protein PstS	pstS PA5369	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_254056.1; NC_002516.2.;WP_003096673.1; NZ_QZGE01000020.1.;	pae:PA5369	323	PA5369	NA	GO:0005576; GO:0006817; GO:0007155; GO:0042301; GO:0042597; GO:0044010	cell adhesion [GO:0007155]; phosphate ion transport [GO:0006817]; single-species biofilm formation [GO:0044010]	periplasm
O05927	reviewed	CYSH_PSEAE	Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase)	cysH PA1756	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_250447.1; NC_002516.2.;WP_010895583.1; NZ_QZGE01000003.1.;	pae:PA1756	267	PA1756	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate. {ECO:0000255|HAMAP-Rule:MF_00063, ECO:0000305|PubMed:11940598}.	GO:0000103; GO:0004604; GO:0005737; GO:0019344; GO:0019379; GO:0043866; GO:0046872; GO:0051539	cysteine biosynthetic process [GO:0019344]; sulfate assimilation [GO:0000103]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]	cytoplasm
O30508	reviewed	ARUC_PSEAE	Succinylornithine transaminase/acetylornithine aminotransferase (ACOAT) (SOAT) (Succinylornithine aminotransferase) (EC 2.6.1.11) (EC 2.6.1.81)	aruC argD astC PA0895	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_249586.1; NC_002516.2.;WP_003112608.1; NZ_QZGE01000007.1.;	pae:PA0895	406	PA0895	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 4/4.; PATHWAY: Amino-acid degradation; L-arginine degradation via AST pathway; L-glutamate and succinate from L-arginine: step 3/5.	GO:0003992; GO:0005737; GO:0006526; GO:0006527; GO:0019545; GO:0030170; GO:0042802; GO:0043825	arginine biosynthetic process [GO:0006526]; arginine catabolic process [GO:0006527]; arginine catabolic process to succinate [GO:0019545]	cytoplasm
O33407	reviewed	ESTA_PSEAE	Esterase EstA (EC 3.1.1.1) (Autotransporter esterase EstA)	estA papA PA5112	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_253799.1; NC_002516.2.;WP_003115524.1; NZ_QZGE01000002.1.;	pae:PA5112	646	PA5112	NA	GO:0005576; GO:0008610; GO:0009247; GO:0009279; GO:0016298; GO:0044010; GO:0048870; GO:0052689; GO:0071973; GO:0071978; GO:0106435	bacterial-type flagellum-dependent cell motility [GO:0071973]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; cell motility [GO:0048870]; glycolipid biosynthetic process [GO:0009247]; lipid biosynthetic process [GO:0008610]; single-species biofilm formation [GO:0044010]	outer membrane
O50274	reviewed	CYSNC_PSEAE	Bifunctional enzyme CysN/CysC [Includes: Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase)]	cysNC cysN PA4442	Pseudomonas aeruginosa ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1	208964	NP_253132.1; NC_002516.2.;WP_003110029.1; NZ_QZGE01000004.1.;	pae:PA4442	633	PA4442	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3.; PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 2/3.	GO:0000103; GO:0003746; GO:0003924; GO:0004020; GO:0004781; GO:0005524; GO:0005525; GO:0006790; GO:0009970; GO:0016310; GO:0070814	cellular response to sulfate starvation [GO:0009970]; hydrogen sulfide biosynthetic process [GO:0070814]; phosphorylation [GO:0016310]; sulfate assimilation [GO:0000103]; sulfur compound metabolic process [GO:0006790]	unknown
