uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
A0A0H2UNG0	reviewed	PULA_STRPN	Pullulanase A (EC 3.2.1.41) (Alpha-dextrin endo-1,6-alpha-glucosidase) (Pullulan 6-glucanohydrolase)	spuA SP_0268	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_001232766.1; NZ_CP089948.1.;	1280	SP_0268	NA	GO:0005509; GO:0005576; GO:0009986; GO:0010303; GO:0030247; GO:0030979; GO:0051060; GO:2001066; GO:2001067; GO:2001069	alpha-glucan biosynthetic process [GO:0030979]	secreted
A0A0H2URG7	reviewed	GTFA_STRPN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase GtfA) (O-linked N-acetyl-D-glucosamine (O-GlcNAc) transferase)	gtfA SP_1758	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_000158460.1; NZ_CP089948.1.;	503	SP_1758	PATHWAY: Protein modification; protein glycosylation. {ECO:0000255|HAMAP-Rule:MF_01472, ECO:0000269|PubMed:24936067, ECO:0000269|PubMed:28246170}.	GO:0000166; GO:0005737; GO:0005886; GO:0016757; GO:0017122; GO:0018242	protein O-linked glycosylation via serine [GO:0018242]	cytoplasm
A0A0H2URJ6	reviewed	GLYE_STRPN	Glycosyltransferase GlyE (PsrP glycosyltransferase GlyE)	glyE SP_1766	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_001808456.1; NZ_CP089948.1.;	406	SP_1766	PATHWAY: Protein modification; protein glycosylation. {ECO:0000269|PubMed:28246170}.	GO:0000166; GO:0006486; GO:0016757; GO:0046872	protein glycosylation [GO:0006486]	unknown
A0A0H2URK1	reviewed	PSRP_STRPN	Pneumococcal serine-rich repeat protein (PsrP) (Adhesin PsrP) (Serine-rich repeat protein PsrP)	psrP SP_1772	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	NA	4776	SP_1772	NA	GO:0003677; GO:0005576; GO:0007155; GO:0009275; GO:0009986; GO:0044010; GO:0052031	cell adhesion [GO:0007155]; single-species biofilm formation [GO:0044010]; symbiont-mediated perturbation of host defense response [GO:0052031]	secreted
A0A0H2URU9	reviewed	COMGC_STRPN	Competence protein ComGC (Major pilin ComGC)	comGC cglC SP_2051	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_000738627.1; NZ_CP089948.1.;	108	SP_2051	NA	GO:0005576; GO:0005886; GO:0009289; GO:0009986; GO:0015627; GO:0015628; GO:0030420	establishment of competence for transformation [GO:0030420]; protein secretion by the type II secretion system [GO:0015628]	inner membrane
P0A3C5	reviewed	FABH_STRPN	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase) (SpFabH)	fabH SP_0417	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_000852948.1; NZ_CP089948.1.;	324	SP_0417	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01815}.	GO:0004315; GO:0005737; GO:0006633; GO:0033818	fatty acid biosynthetic process [GO:0006633]	cytoplasm
P0A4G2	reviewed	MTSA_STRPN	Manganese ABC transporter substrate-binding lipoprotein PsaA (Pneumococcal surface adhesin A)	psaA SP_1650	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_000733059.1; NZ_CP089948.1.;	309	SP_1650	NA	GO:0005886; GO:0007155; GO:0030001; GO:0046872	cell adhesion [GO:0007155]; metal ion transport [GO:0030001]	inner membrane
P22291	reviewed	SULD_STRPN	Bifunctional folate synthesis protein [Includes: Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase); 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase) (HPPK)]	sulD SP_0292	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_000372529.1; NZ_CP089948.1.;	270	SP_0292	PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 3/4.; PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 4/4.	GO:0003848; GO:0004150; GO:0005524; GO:0016301; GO:0016310; GO:0046654; GO:0046656; GO:0046872	folic acid biosynthetic process [GO:0046656]; phosphorylation [GO:0016310]; tetrahydrofolate biosynthetic process [GO:0046654]	unknown
P41354	reviewed	MUTX_STRPN	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutX SP_1168	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_001135768.1; NZ_CP089948.1.;	154	SP_1168	NA	GO:0006260; GO:0006281; GO:0008413; GO:0035539; GO:0042262; GO:0046872	DNA protection [GO:0042262]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	unknown
P72525	reviewed	PARC_STRPN	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	parC SP_0855	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	NA	823	SP_0855	NA	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006265; GO:0007059; GO:0009330; GO:0019897	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	inner membrane
P95830	reviewed	DNAJ_STRPN	Chaperone protein DnaJ	dnaJ SP_0519	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_001066295.1; NZ_CP089948.1.;	378	SP_0519	NA	GO:0005524; GO:0005737; GO:0006260; GO:0008270; GO:0009408; GO:0031072; GO:0042026; GO:0051082; GO:0051085	chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; response to heat [GO:0009408]	cytoplasm
Q04707	reviewed	PBPA_STRPN	Penicillin-binding protein 1A (PBP-1A) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA SP_0369	Streptococcus pneumoniae serotype 4 ATCC BAA-334 / TIGR4	170187	WP_001040013.1; NZ_CP089948.1.;	719	SP_0369	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.	GO:0005576; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0046677; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	secreted
