uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	kegg	length	locus_tag	pathway	go_ids	go_bp	localization
O34162	reviewed	HEMN_CUPNH	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	hemN H16_A3615	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_041687570.1; NZ_CP039287.1.;	reh:H16_A3615	494	H16_A3615	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; protoporphyrinogen-IX from coproporphyrinogen-III (AdoMet route): step 1/1.	GO:0004109; GO:0005737; GO:0006779; GO:0006782; GO:0046872; GO:0051539; GO:0051989	porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	cytoplasm
P14611	reviewed	THIL_CUPNH	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Beta-ketothiolase)	phaA phbA H16_A1438	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_010810132.1; NZ_CP039287.1.;	reh:H16_A1438	393	H16_A1438	PATHWAY: Biopolymer metabolism; poly-(R)-3-hydroxybutanoate biosynthesis. {ECO:0000269|PubMed:2670936, ECO:0000269|PubMed:4198758}.	GO:0003985; GO:0005829; GO:0006635; GO:0042619	fatty acid beta-oxidation [GO:0006635]; poly-hydroxybutyrate biosynthetic process [GO:0042619]	cytoplasm
P14697	reviewed	PHAB_CUPNH	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phaB phbB H16_A1439	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_010810131.1; NZ_CP039287.1.;	reh:H16_A1439	246	H16_A1439	PATHWAY: Biopolymer metabolism; poly-(R)-3-hydroxybutanoate biosynthesis. {ECO:0000269|PubMed:23913421, ECO:0000269|PubMed:2670936}.	GO:0005737; GO:0018454; GO:0042619	poly-hydroxybutyrate biosynthetic process [GO:0042619]	cytoplasm
P31892	reviewed	MBHS_CUPNH	Uptake hydrogenase small subunit (EC 1.12.99.6) (Hydrogenlyase) (Membrane-bound hydrogenase small subunit)	hoxK PHG001	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011153926.1; NZ_CP039289.1.;	reh:PHG001	360	PHG001	NA	GO:0005886; GO:0008901; GO:0009055; GO:0009061; GO:0009375; GO:0033748; GO:0044569; GO:0046872; GO:0051538; GO:0051539	anaerobic respiration [GO:0009061]	inner membrane
P39185	reviewed	NAPA_CUPNH	Periplasmic nitrate reductase (EC 1.9.6.1)	napA PHG211	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011154126.1; NZ_CP039289.1.;	reh:PHG211	831	PHG211	NA	GO:0005506; GO:0006777; GO:0008940; GO:0009055; GO:0030151; GO:0042128; GO:0042597; GO:0043546; GO:0045333; GO:0050140; GO:0051539; GO:1990204	cellular respiration [GO:0045333]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; nitrate assimilation [GO:0042128]	periplasm
P39662	reviewed	HMP_CUPNH	Flavohemoprotein (FHP) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp fhp PHG200	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011154115.1; NZ_CP039289.1.;	reh:PHG200	403	PHG200	NA	GO:0005344; GO:0005737; GO:0008941; GO:0009636; GO:0019825; GO:0020037; GO:0046210; GO:0046872; GO:0071500; GO:0071949	cellular response to nitrosative stress [GO:0071500]; nitric oxide catabolic process [GO:0046210]; response to toxic substance [GO:0009636]	cytoplasm
Q0K3K1	unreviewed	Q0K3K1_CUPNH	Multifunctional fusion protein [Includes: Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)]	cysN2 cysC cysN H16_B0626 E6A55_22310	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011616710.1; NZ_CP039288.1.;	reh:H16_B0626	644	H16_B0626	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_00062}.; PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 2/3. {ECO:0000256|HAMAP-Rule:MF_00065}.	GO:0000103; GO:0003746; GO:0003924; GO:0004020; GO:0004781; GO:0005524; GO:0005525; GO:0016310; GO:0070814	hydrogen sulfide biosynthetic process [GO:0070814]; phosphorylation [GO:0016310]; sulfate assimilation [GO:0000103]	unknown
Q0K845	reviewed	SAUS_CUPNH	Sulfoacetaldehyde dehydrogenase (acylating) (EC 1.2.1.81)	sauS H16_A2747	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011615809.1; NZ_CP039287.1.;	reh:H16_A2747	493	H16_A2747	NA	GO:0005737; GO:0016620	NA	cytoplasm
Q0K9H3	reviewed	HBOH_CUPNH	D-(-)-3-hydroxybutyrate oligomer hydrolase (3HB-oligomer hydrolase) (3HBOH) (EC 3.1.1.22) (Intracellular 3HB-oligomer hydrolase) (i3HBOH)	phaZ2 phaY1 H16_A2251	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011615575.1; NZ_CP039287.1.;	reh:H16_A2251	718	H16_A2251	PATHWAY: Lipid metabolism; butanoate metabolism. {ECO:0000255|HAMAP-Rule:MF_01906}.	GO:0005615; GO:0005737; GO:0019605; GO:0047989	butyrate metabolic process [GO:0019605]	cytoplasm
Q0KBI5	unreviewed	Q0KBI5_CUPNH	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrE nnrD H16_A1504 E6A55_07590	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha	381666	WP_011615124.1; NZ_CP039287.1.;	reh:H16_A1504	528	H16_A1504	NA	GO:0005524; GO:0016301; GO:0016310; GO:0046496; GO:0046872; GO:0047453; GO:0052855; GO:0052856; GO:0052857; GO:0110051	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]; phosphorylation [GO:0016310]	unknown
